0, 1527
-1, 409
-2, 1660
-1, 1546
5, 853
0, 1025
6, 475
-2, 1990
-1, 3080
-2, 753
5, 1963
-1, 282
0, 1065
0, 2091
0, 3680
6, 2122
-2, 1304
6, 4225
-2, 643
0, 1311
6, 1097
-2, 1400
0, 3266
0, 442
5, 4376
5, 880
5, 2676
5, 1341
0, 1220
5, 1942
6, 3587
6, 1300
-1, 248
-1, 431
6, 1601
-1, 481
5, 1288
-4, 1663
0, 1069
-3, 727
-1, 802
6, 490
5, 1674
-2, 971
4, 1665
-1, 1024
6, 748
-1, 4066
4, 761
5, 6301
6, 660
5, 1641
0, 1558
-1, 1290
6, 428
0, 807
5, 5418
-1, 509
-1, 1401
-5, 1290
5, 1264
0, 771
-1, 1357
0, 1001
4, 310
-2, 540
6, 3511
-1, 3460
-3, 559
0, 10326
-1, 1434
6, 489
-1, 1231
0, 550
0, 1452
6, 1326
6, 890
6, 793
-1, 1802
-1, 1438
0, 230
0, 302
6, 1171
-3, 3169
0, 1536
6, 433
-4, 1519
-1, 537
4, 1151
-2, 1613
6, 1145
0, 401
-5, 229
5, 463
-2, 1887
5, 4028
-2, 4668
0, 278
-2, 2490
6, 675
0, 311
-1, 224
5, 1541
0, 687
-2, 4062
-1, 1380
-1, 428
-2, 522
-1, 946
-2, 466
-1, 2371
0, 391
0, 2845
-2, 1763
-3, 3690
-2, 2734
5, 651
6, 4385
-4, 344
6, 1880
-1, 1215
6, 2513
0, 343
5, 1040
4, 1221
0, 2913
6, 310
-3, 258
5, 2707
0, 800
-2, 2296
6, 1870
5, 882
-1, 1561
-3, 2954
0, 2213
6, 883
4, 1295
4, 3449
5, 321
0, 1252
-2, 690
-2, 654
0, 1115
5, 793
-1, 206
-2, 808
5, 1212
5, 444
6, 1145
0, 570
5, 1198
-2, 219
4, 496
-1, 3342
5, 1114
0, 1949
6, 641
-2, 1449
-2, 2202
-1, 1759
5, 956
4, 3725
0, 2610
-5, 751
0, 2108
-2, 1963
5, 2564
5, 577
5, 1298
4, 1848
-3, 2769
-3, 542
-2, 4594
6, 1232
6, 513
4, 1133
4, 4034
6, 231
-1, 1766
-2, 4089
-4, 399
0, 2066
-1, 403
0, 941
5, 1784
6, 242
-1, 187
-3, 1599
-2, 2125
5, 784
0, 3178
-2, 1379
-2, 819
0, 2376
6, 206
-2, 3678
-1, 682
0, 635
0, 557
6, 335
-2, 2348
-1, 1340
6, 893
0, 1826
0, 1462
-1, 2019
4, 1216
-1, 737
-1, 1976
0, 2771
6, 4673
6, 1800
6, 3434
-2, 588
0, 1194
6, 4709
0, 1800
-1, 1085
-5, 803
6, 379
0, 1594
4, 2073
5, 2461
-2, 985
0, 3143
6, 7180
-2, 653
0, 4272
-1, 2316
5, 4527
-1, 2480
6, 954
6, 1374
0, 1130
6, 1905
0, 1308
5, 1663
-3, 3231
6, 287
-3, 837
-1, 4302
-1, 652
-4, 404
-1, 534
6, 1965
5, 4868
6, 727
0, 1809
-2, 3537
-5, 1426
-3, 959
0, 1475
4, 1423
-3, 1674
5, 520
0, 1743
-1, 290
4, 4865
0, 4097
6, 260
0, 1511
-3, 3659
4, 1335
-3, 441
-2, 1447
-2, 1169
5, 1777
5, 1338
0, 1880
-4, 3032
-3, 796
-1, 1939
4, 2410
0, 1572
-2, 3693
-2, 2155
-3, 1124
-3, 1531
4, 1728
5, 2584
0, 2968
6, 976
6, 1715
6, 1727
0, 359
0, 548
-2, 612
4, 321
-3, 2209
-1, 1513
6, 422
-1, 1296
5, 444
-2, 1298
0, 1172
-2, 6076
6, 2279
-4, 340
4, 735
6, 1792
6, 1582
0, 3624
-1, 3005
5, 2065
-5, 872
-2, 2509
0, 223
-3, 1991
6, 831
-2, 343
6, 5716
5, 1250
-5, 145
4, 3693
4, 667
-1, 1531
6, 593
-3, 1913
-1, 1196
0, 1685
6, 2888
0, 5355
0, 1267
-3, 410
-3, 692
5, 5461
-1, 634
-2, 1061
0, 1135
-1, 1817
0, 673
4, 442
0, 1259
0, 3502
5, 1333
4, 629
6, 1091
-2, 664
-3, 741
0, 1461
-1, 387
0, 3400
0, 783
-2, 2469
-1, 4340
-2, 5510
-2, 477
-4, 1262
6, 288
4, 2248
-2, 218
-3, 455
-3, 290
-1, 2385
5, 697
0, 374
4, 866
-2, 4604
4, 762
-1, 1271
5, 1280
-3, 1073
-1, 380
-1, 2618
-1, 319
-1, 1559
-2, 2733
0, 916
6, 1376
5, 1398
-1, 1176
5, 1471
0, 747
-1, 1547
-3, 502
0, 9445
0, 497
6, 967
5, 2206
-2, 549
-1, 1428
-4, 801
-3, 347
0, 367
-1, 336
6, 1367
-3, 1185
-1, 1633
0, 270
5, 1468
6, 2751
0, 587
-2, 3374
0, 1296
5, 1584
6, 3217
-1, 4811
6, 493
-3, 3765
6, 1321
-2, 1075
0, 2503
-1, 666
-1, 1008
-2, 2344
6, 837
0, 1318
-3, 364
-2, 3604
-2, 1621
-3, 629
-1, 5313
5, 6024
4, 1799
0, 3782
-1, 1055
-1, 1074
-4, 152
-2, 995
6, 621
-3, 1206
-2, 2748
4, 4359
0, 1678
-1, 2178
-1, 5853
0, 1098
5, 2857
-2, 1645
5, 2386
-2, 902
4, 2318
5, 210
-2, 1111
5, 1796
5, 1153
-3, 757
5, 1309
6, 4148
4, 2267
-2, 213
6, 9323
-3, 862
5, 8878
-1, 1163
0, 367
5, 4181
6, 555
4, 2308
0, 591
-1, 6656
-2, 1390
-3, 1416
6, 653
-3, 3932
6, 1496
0, 1049
5, 2563
-2, 631
-1, 389
6, 384
5, 2678
0, 534
-1, 324
4, 1190
-1, 2566
0, 1627
5, 1406
-1, 589
5, 144
-3, 1387
-2, 748
0, 289
0, 308
-2, 3380
-2, 4151
0, 1571
0, 1348
0, 192
4, 3184
5, 842
-2, 2773
-3, 844
0, 2209
-1, 224
0, 1029
-1, 5196
6, 4244
-4, 703
5, 656
4, 1076
0, 2968
-1, 904
-1, 1446
-2, 738
5, 1201
-1, 1201
6, 2200
6, 3646
