-2, 194
5, 609
-1, 1770
0, 1402
-3, 3530
0, 1938
4, 1888
6, 336
6, 1396
-1, 1040
-2, 174
-3, 354
-1, 155
0, 419
5, 504
5, 975
5, 978
-1, 1756
5, 1284
-1, 4455
4, 742
0, 2370
0, 758
-1, 1641
-5, 769
-2, 1662
4, 424
0, 660
-1, 1753
6, 853
-3, 1590
0, 6394
-1, 306
-2, 2221
-2, 1012
0, 211
-1, 1148
-1, 2508
3, 1264
0, 1212
0, 407
-2, 907
-1, 2880
5, 497
-3, 751
-1, 3741
5, 4388
6, 1199
6, 803
-5, 286
-1, 992
0, 201
-1, 426
-1, 1278
4, 1352
-1, 1506
0, 563
-2, 855
-1, 3854
-4, 1596
5, 475
-1, 3801
5, 1791
-2, 2475
5, 6212
-1, 1607
-2, 1736
-3, 1314
-2, 1333
-3, 1265
0, 224
0, 5463
-3, 686
5, 2155
-1, 770
0, 305
5, 1000
-4, 1104
-1, 559
-2, 367
-1, 925
-1, 838
5, 2877
0, 409
5, 423
-4, 4083
4, 954
6, 1710
5, 1146
-1, 3741
5, 2043
-5, 264
-3, 984
5, 1724
-3, 1048
-1, 3089
6, 2562
4, 6197
-2, 953
-2, 1435
4, 2989
6, 766
-2, 517
-2, 3849
-1, 2858
6, 2167
4, 1818
6, 1229
6, 4545
-1, 320
-1, 1144
-2, 333
5, 759
5, 552
-1, 4658
-3, 293
5, 684
-2, 1952
5, 1087
5, 874
5, 1133
6, 1908
-4, 2287
5, 2124
-1, 2040
-1, 1419
5, 3422
5, 811
6, 603
-2, 579
5, 1669
-3, 929
4, 1378
-1, 3695
-2, 4311
0, 711
0, 824
-2, 3594
-2, 682
6, 4729
6, 1792
-1, 2572
0, 185
0, 718
6, 631
-3, 2838
5, 2373
-2, 2878
5, 4212
5, 4676
-2, 3732
0, 460
-1, 3005
0, 2026
-1, 728
-5, 2157
0, 858
-3, 699
0, 1516
-2, 2792
6, 2500
-1, 1546
-1, 860
5, 616
-1, 1038
5, 1937
5, 3014
-1, 2664
6, 238
4, 1258
-1, 1507
-4, 1185
6, 740
4, 1471
0, 700
-2, 923
-2, 4528
-2, 5915
-4, 4190
0, 815
-1, 866
0, 1236
0, 160
0, 789
-3, 683
6, 4099
4, 1229
0, 1189
-1, 2219
-5, 881
6, 1912
5, 3125
0, 479
4, 790
-2, 801
-4, 2553
-2, 541
4, 1446
-3, 2776
-4, 257
0, 882
-3, 1619
6, 1619
6, 658
5, 707
-1, 1538
0, 5516
4, 1611
4, 3270
-2, 1310
0, 1423
0, 1342
-4, 1101
0, 2642
6, 219
-1, 2574
4, 1674
-3, 231
0, 347
-2, 3888
0, 256
6, 2394
-1, 213
5, 1748
-1, 2118
0, 7124
-1, 2214
6, 1585
0, 291
5, 245
-2, 830
-2, 2421
-4, 935
-3, 1206
-3, 368
6, 1212
4, 341
-2, 1686
-4, 616
0, 1053
6, 974
6, 2044
6, 380
0, 839
-1, 2291
-2, 606
-3, 4072
-2, 1504
6, 1010
5, 323
-1, 3215
6, 1413
5, 3826
-3, 3263
-1, 716
6, 4882
6, 1378
6, 1197
-1, 1431
-1, 841
-3, 904
0, 193
4, 1074
4, 3689
0, 1008
0, 450
-3, 1090
0, 847
-5, 402
-1, 976
4, 314
0, 1314
-2, 3317
4, 4330
5, 2255
-2, 1175
6, 567
-1, 499
-1, 1282
6, 3327
-2, 839
0, 2023
0, 2162
0, 682
0, 1131
4, 689
6, 222
-1, 788
0, 1228
-5, 192
-1, 2349
-2, 691
5, 1167
-1, 1040
0, 3142
-1, 371
0, 231
-2, 4274
-2, 4867
-2, 2070
4, 1291
-3, 2047
5, 841
-1, 1568
5, 1881
6, 461
-1, 2202
-1, 1340
0, 4127
-2, 972
5, 1073
6, 3878
6, 848
0, 1261
-1, 383
-2, 1591
-3, 1610
6, 4882
-2, 816
5, 1443
-3, 241
0, 872
0, 773
6, 1115
5, 1262
-2, 1554
-1, 2964
-1, 3041
-1, 635
4, 2240
-3, 979
6, 813
-2, 1037
-1, 166
-3, 858
-4, 679
0, 1677
6, 465
4, 1326
6, 2275
-3, 3371
6, 4178
6, 4081
4, 2892
-1, 2049
-2, 1414
5, 1028
4, 1217
0, 2555
0, 1427
6, 426
6, 3729
-1, 1561
6, 1543
6, 2696
5, 1195
0, 3351
-5, 242
0, 6302
0, 904
-2, 3038
-2, 1056
-1, 185
0, 3409
-1, 2916
5, 4258
-1, 3770
4, 634
0, 471
-2, 9385
-3, 3296
6, 393
5, 1076
-3, 3536
-1, 2658
5, 1219
4, 2631
0, 2036
6, 3527
-4, 436
-2, 1979
0, 382
5, 2455
-4, 1695
-1, 1210
0, 644
-3, 267
-2, 672
0, 2014
-2, 325
0, 1637
-2, 1611
0, 1169
6, 2075
5, 1118
0, 1737
5, 3702
6, 320
-1, 233
5, 892
-1, 3198
6, 2031
-2, 2843
-3, 1381
-2, 4210
0, 2265
-1, 1291
-3, 1201
-2, 206
-1, 1804
-1, 1627
0, 3203
6, 2798
0, 569
-5, 215
-3, 944
6, 387
-2, 233
6, 1287
6, 530
-1, 1424
0, 441
0, 1435
6, 677
5, 1342
5, 1617
4, 558
0, 807
4, 2323
5, 463
-2, 660
0, 1899
-2, 893
-1, 1004
-1, 4492
-1, 443
0, 423
5, 3134
0, 409
-2, 1401
0, 238
5, 380
4, 2721
6, 885
6, 729
0, 303
6, 396
6, 1077
0, 932
5, 1388
-1, 580
-2, 902
-3, 1564
6, 2425
-3, 3805
6, 5213
6, 1420
0, 953
-1, 1818
-1, 2050
0, 450
0, 3144
6, 2146
-2, 8694
-1, 2535
0, 1477
0, 1071
6, 3004
5, 2942
0, 362
-1, 986
6, 2901
-2, 2247
4, 1425
-3, 2865
-2, 7544
6, 1808
-1, 2070
6, 1663
0, 757
-1, 3035
-3, 1406
-1, 1128
4, 2365
-3, 474
5, 2257
-1, 1993
-4, 369
0, 648
4, 1347
0, 290
6, 2360
5, 1480
0, 979
0, 2035
-1, 307
-3, 1149
-5, 179
6, 4393
-3, 840
-2, 1780
6, 557
-2, 709
4, 1715
0, 2209
4, 2203
-1, 2487
-2, 3007
5, 1641
-1, 1377
-2, 1620
-1, 1644
6, 1649
-1, 1333
5, 256
5, 627
-5, 534
4, 5288
6, 1016
-2, 912
6, 314
4, 260
0, 2926
-1, 821
6, 3104
4, 1608
0, 1354
0, 495
0, 2201
6, 153
4, 2113
6, 417
0, 1303
-4, 228
5, 2026
4, 362
0, 896
-1, 303
-1, 825
-2, 1266
4, 1188
0, 940
0, 1081
-4, 872
0, 1166
6, 796
-5, 1228
-1, 3292
-2, 1788
0, 1280
5, 1174
-3, 1710
-2, 1754
-2, 4355
4, 4422
-1, 5344
-1, 490
-2, 1703
-1, 1333
-2, 746
6, 1291
-2, 187
-5, 725
6, 1169
-2, 2116
0, 5678
6, 785
4, 1020
0, 3056
4, 1545
0, 651
-1, 3622
-1, 1163
-1, 3183
-2, 703
-3, 369
-2, 1073
6, 1974
6, 453
-1, 453
0, 1231
0, 916
6, 5315
0, 847
-2, 1445
0, 3225
0, 429
6, 2814
0, 206
0, 861
-1, 1326
-2, 2657
5, 686
-2, 262
6, 458
6, 3716
5, 3044
0, 775
-1, 1569
-5, 2427
6, 200
-3, 974
5, 853
-5, 321
-1, 6579
0, 1139
4, 356
4, 1872
-1, 492
5, 1438
-1, 2107
5, 397
-4, 222
0, 2118
-1, 2776
-2, 869
5, 1817
-2, 1397
5, 1217
-2, 1173
4, 982
5, 1275
-2, 518
-1, 1791
5, 3738
-4, 1498
-5, 261
6, 3331
5, 674
6, 1888
