0, 311
4, 4283
-1, 2113
0, 722
4, 2606
0, 1449
-4, 161
-1, 1172
4, 1469
0, 3341
-1, 716
-2, 2351
4, 1932
-1, 771
0, 2679
6, 1628
5, 753
-1, 1077
-2, 518
-2, 679
0, 425
5, 1466
-2, 2088
-2, 1539
-1, 1147
0, 1637
0, 1020
6, 832
-2, 4593
-1, 3240
0, 5304
5, 1716
0, 3903
5, 744
0, 1801
-2, 230
6, 1342
0, 1785
5, 2683
0, 1058
4, 1846
-1, 3056
-1, 1648
0, 331
-2, 1665
0, 2862
-4, 2578
0, 3698
-1, 1117
-1, 1122
6, 1202
6, 1690
-2, 1035
6, 802
-1, 781
-1, 5615
5, 1157
-2, 1243
6, 909
5, 726
4, 1888
5, 2182
6, 1105
-1, 2193
6, 394
-4, 2814
-2, 1383
-1, 1861
-1, 4532
-2, 195
5, 2784
0, 3864
6, 7471
5, 375
-5, 602
0, 391
4, 1174
0, 1915
-2, 954
-4, 6223
5, 4348
0, 1483
5, 433
-2, 450
5, 3681
5, 1509
0, 348
5, 2560
0, 1641
5, 1073
5, 342
6, 1871
6, 505
5, 1802
-2, 1018
6, 5740
5, 491
-4, 1023
-2, 1359
-1, 2571
5, 1651
-2, 1517
6, 1580
5, 1347
-5, 1250
4, 1704
-1, 3307
5, 2517
5, 2568
-3, 2025
0, 4389
0, 314
-1, 1960
-1, 1313
4, 729
0, 1970
4, 2494
0, 2319
6, 1325
-1, 340
6, 2369
-3, 974
6, 1164
-2, 406
-1, 2138
-2, 8358
-1, 680
0, 315
6, 1301
6, 3235
-2, 2373
0, 316
-3, 1656
6, 1171
-1, 4319
-3, 789
5, 1993
0, 2714
-1, 2997
6, 2118
-2, 952
6, 839
-2, 3618
5, 632
5, 3392
0, 1166
6, 2948
0, 393
4, 1673
5, 821
5, 363
-1, 965
0, 715
4, 4837
-2, 1747
-1, 4512
-3, 4117
0, 5423
-1, 476
5, 2351
-3, 2619
-2, 2914
6, 933
6, 898
-1, 1588
0, 5108
-3, 965
-1, 1115
-2, 533
-3, 789
6, 1952
4, 1024
-1, 343
-2, 3642
4, 800
-2, 547
0, 3027
-1, 1419
-2, 2926
-2, 2509
-2, 5098
6, 4465
0, 251
-1, 4010
-1, 2308
6, 1002
5, 422
-1, 661
6, 881
-2, 1623
5, 2040
0, 860
0, 1232
-3, 1272
0, 528
-1, 507
-1, 549
0, 3923
0, 491
-1, 2065
-4, 1609
5, 2457
0, 5817
-1, 209
0, 2641
6, 1480
0, 3489
5, 1372
5, 1397
-1, 570
-1, 1702
-4, 790
6, 2349
-1, 6559
-1, 867
0, 1723
6, 1067
4, 1814
-2, 2272
-3, 1053
6, 824
-1, 1046
-1, 6143
5, 1281
0, 698
-2, 262
5, 3321
5, 256
5, 752
4, 3700
-1, 298
4, 1927
-2, 6968
-2, 3668
6, 951
-3, 145
-2, 2971
6, 3943
0, 9033
5, 1178
-1, 1684
-2, 3551
-1, 1839
-1, 3708
-1, 535
0, 426
-1, 4433
0, 3122
-3, 1578
5, 2531
0, 345
6, 430
0, 350
-5, 2409
0, 1106
-2, 1272
4, 1318
-1, 1372
-2, 2523
-2, 1917
5, 453
5, 826
-1, 443
0, 6928
6, 1755
-2, 342
-1, 6178
-1, 403
-1, 692
-3, 821
-3, 4080
-2, 5641
4, 1875
-3, 557
4, 664
6, 3742
6, 698
5, 911
-3, 3796
0, 830
0, 1600
-3, 234
5, 751
0, 1321
0, 722
-1, 1004
4, 771
5, 801
-1, 1809
-1, 1155
6, 756
-2, 2889
4, 807
6, 2372
6, 192
-1, 5831
-1, 371
-1, 1029
-1, 916
4, 1267
-1, 636
-2, 4438
0, 3415
-1, 4240
4, 703
5, 1535
0, 392
5, 3636
5, 3672
-3, 1987
-1, 1216
6, 1869
6, 758
5, 1902
6, 1731
-1, 689
-2, 1537
0, 1287
-2, 1425
0, 2407
6, 972
5, 3064
-1, 2813
0, 373
-2, 2251
4, 378
5, 793
-2, 1484
6, 512
0, 2030
-2, 624
5, 1359
-2, 2918
-3, 473
-1, 1025
0, 2453
5, 4733
-2, 1690
4, 1793
0, 395
-2, 871
0, 369
-2, 1873
-3, 430
-1, 434
0, 465
-1, 981
-1, 843
-1, 1135
0, 301
0, 706
0, 4779
4, 1461
-1, 1967
5, 3521
-1, 334
-2, 2015
-2, 635
5, 1362
6, 3325
5, 2561
-3, 1727
0, 780
0, 695
0, 2032
5, 681
-1, 2490
0, 952
5, 2967
6, 432
6, 594
-1, 2993
-2, 1454
0, 2084
-4, 1172
4, 1726
-2, 10529
-2, 1538
6, 1601
6, 2038
6, 975
0, 1952
-1, 719
-1, 2851
-1, 530
0, 1660
0, 1784
-1, 1418
-1, 3130
-2, 499
6, 757
6, 1908
-1, 3204
-1, 2782
0, 4701
-1, 2364
-1, 1513
0, 2960
0, 2935
0, 1006
0, 677
6, 500
-4, 353
-3, 1673
0, 797
-3, 562
0, 1026
6, 2239
5, 424
-1, 1655
5, 2158
-1, 437
-1, 702
6, 3204
0, 704
4, 1267
-5, 2102
5, 653
-2, 2321
-1, 1086
5, 874
0, 578
5, 1164
-1, 327
6, 1524
6, 594
-3, 1855
0, 171
0, 387
-4, 2310
0, 1538
-3, 222
0, 1103
-2, 2414
0, 381
0, 505
-1, 1433
-2, 4848
-2, 2016
-1, 2101
0, 315
5, 771
6, 1192
0, 342
5, 1469
6, 2617
5, 4246
-2, 1438
5, 313
0, 625
5, 1518
6, 1012
-2, 209
-1, 409
0, 1261
-4, 325
0, 165
5, 401
0, 788
0, 269
4, 2369
-2, 1774
4, 2522
-1, 499
-1, 199
-2, 820
-2, 552
-4, 1639
-2, 835
-3, 2254
-1, 459
0, 1690
-3, 901
-3, 2129
-2, 1837
-4, 443
0, 2462
5, 1469
-3, 802
5, 1741
6, 227
-3, 1860
-1, 251
-3, 1398
6, 793
6, 166
-2, 1566
-3, 1547
-2, 824
-2, 2912
-1, 1243
0, 422
-2, 158
0, 1464
-1, 1729
0, 1924
-4, 3150
4, 2835
6, 3376
-2, 880
